experiment_id,model,optimizer,learning_rate,seed,epoch,train_loss,val_loss,train_accuracy,val_accuracy
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,1,0.9581924126381968,0.4632059638765123,77.49215686274509,88.12222222222222
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,2,0.432526678442955,0.36113821167416044,87.83333333333333,90.02222222222223
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,3,0.3629418355857625,0.3191217645009359,89.60588235294118,91.05555555555556
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,4,0.3249108764704536,0.2910961847040388,90.76862745098039,91.81111111111112
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,5,0.2967031600264942,0.27049472573068406,91.54117647058824,92.11111111111111
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,6,0.27351770321995605,0.25202288058069017,92.24901960784314,92.81111111111112
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,7,0.25442337717028224,0.23635217400391897,92.70196078431373,93.35555555555555
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,8,0.23781614950825186,0.22297722907861073,93.27254901960784,93.58888888888889
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,9,0.22291617363340716,0.2127648811340332,93.71764705882353,94.0
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,10,0.21114181427628387,0.20076466868983375,94.06470588235294,94.23333333333333
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,11,0.19983327836032008,0.19110149386194017,94.42549019607843,94.53333333333333
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,12,0.18975523551305135,0.18344000875287586,94.6470588235294,94.7
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,13,0.18183626898831012,0.17690394463804032,94.8921568627451,95.02222222222223
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,14,0.17292354506955426,0.16958388679557376,95.12156862745098,95.03333333333333
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,15,0.16743514252877703,0.1642225517233213,95.21372549019608,95.32222222222222
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,16,0.15893905873801195,0.1585750969979498,95.57058823529412,95.38888888888889
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,17,0.15341137652946454,0.15396701645188862,95.61764705882354,95.5
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,18,0.14949106803127363,0.14959384857283697,95.82941176470588,95.71111111111111
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,19,0.14198256271259457,0.14625207620196873,96.04705882352941,95.75555555555556
MLP_SGD_lr0.01_seed42,MLP,SGD,0.01,42,20,0.138803168618942,0.1425783406297366,96.10980392156863,95.83333333333333
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,1,0.2546377636552149,0.0687262862343341,92.10980392156863,97.97777777777777
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,2,0.09644430373879333,0.04776980206453138,97.14117647058823,98.5
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,3,0.07411833006684103,0.04743290987921258,97.74705882352941,98.67777777777778
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,4,0.0634381870395303,0.03765268927678052,98.00392156862745,98.85555555555555
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,5,0.05213705438209296,0.0354077442272618,98.37254901960785,98.9888888888889
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,6,0.04745743096522147,0.03483173735650619,98.51176470588236,98.97777777777777
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,7,0.04563160748684816,0.03552499357235178,98.54117647058824,99.0111111111111
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,8,0.04117679071966239,0.031096826309467564,98.73137254901961,99.03333333333333
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,9,0.039168551970716094,0.03644429661036702,98.74509803921569,98.92222222222222
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,10,0.03462513808736135,0.03359265934410117,98.90196078431373,99.11111111111111
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,11,0.03392188329813892,0.030026910645146725,98.9,99.08888888888889
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,12,0.03225220316390201,0.03039434509452581,98.95294117647059,99.0111111111111
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,13,0.02952152049416327,0.03313905915014968,99.06470588235294,99.05555555555556
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,14,0.028160542496780218,0.03372637142720891,99.09803921568627,99.05555555555556
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,15,0.028174336208010037,0.0303038941275655,99.16078431372549,99.16666666666667
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,16,0.02590038166281524,0.028101749840786297,99.13725490196079,99.14444444444445
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,17,0.025116826277557763,0.028686586459881154,99.15490196078431,99.26666666666667
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,18,0.023790637307536708,0.029966679864398126,99.23725490196078,99.07777777777778
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,19,0.02575779526409878,0.02984026837904417,99.19411764705882,99.24444444444444
CNN_Adam_lr0.001_seed42,CNN,Adam,0.001,42,20,0.024606028567715696,0.030440840524861415,99.20196078431373,99.18888888888888
MLP_Adam_lr0.001_seed42,MLP,Adam,0.001,42,1,0.308565442571453,0.16989739763736725,91.11176470588235,94.93333333333334
